,dart,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,Forced
,,Un,The king rules the country,un,236052655,,,,,,,,,
,,Un,the judge rules the country,un,53310156,,,,,,,,,
,,,,,,,,,,,,,,
,glass,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the glass falls on the floor,target,411912256,,M2_Noun_intransitivePPbeg_85,F2_Noun_intransitivePPbeg_85,,,7,7,1,
,,P1,the lass falls on the floor,mp,33569378,,,,,,,,,
,,P2,the gas falls on the floor,mp,348582857,,,,,,,,,
,,P3,the glasses fall on the floor,close,135694967,,,,,,,,,
,,S1,the cup falls on the floor,coord,285418763,,,,,,,,,
,,S2,the pot falls on the floor,coord,377727364,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,glasses,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the glasses fall on the floor,target,135694967,,M2_Noun_intransitivePPbeg_86,F2_Noun_intransitivePPbeg_86,,,6,7,2,
,,P1,x,x,x,,,,,,,,,
,,P2,the glass falls on the floor,close,411912256,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the binoculars fall on the floor,coord,286625042,,,,,,,,,
,,S2,the mirror falls on the floor,assoc,9756169,,,,,,,,,
,,Un,the cup falls on the floor,un,285418763,,,,,,,,,
,,Un,the boy falls on the floor,un,50782650,,,,,,,,,
,,,,,,,,,,,,,,
A,man,,Linguistic unit,P type,Image ID+,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the man runs on the road,target,98478128,M1_ Noun_intransitivePPbeg_1,,F2_Noun_intransitivePPbeg_1,,,8,7,1,
,,P1,the van runs on the road,mp,296073428,,,,,,,,,
,,P2,the lamb runs on the road,close,95782636,,,,,,,,,
,,P3,the ram runs on the road,close,244482793,,,,,,,,,
,,S1,the woman runs on the road,coord,100144160,,,,,,,,,
,,S2,the boy runs on the road,coord,145688519,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,paw,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The paw rests on the chair,target,52607298,M1_Noun_intransitivePPbeg_12,,F2_Noun_intransitivePPbeg_12,,,5,6,1,
,,P1,The pie rests on the chair,distant,281654531,,,,,,,,,
,,P2,The jaw rests on the chair,mp,328631165,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The foot rests on the chair,coord,3259218,,,,,,,,,
,,S2,The hand rests on the chair,coord,111337220,,,,,,,,,
,,Un,The man rests on the chair,un,26845054,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,gate,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the gate is in the field,target,1562797,M1_Noun_intransitivePPbeg_13,,F2_Noun_intransitivePPbeg_13,,,6,7,1,
,,P1,the weight is in the field,mp,286452014,,,,,,,,,
,,P2,the plate is in the field,mp,334952285,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the fence is in the field,coord,328986,,,,,,,,,
,,S2,the style is in the field,coord,151801061,,,,,,,,,
,,Un,the door is in the field,coord,81319195,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,foot,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the foot is on the chair,target,97693517,M1_Noun_intransitivePPbeg_17,,F2_Noun_intransitivePPbeg_17,,,7,7,1,
,,P1,the fool is on the chair,mp,220440994,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the hand is on the chair,coord,29524403,,,,,,,,,
,,S2,the paw is on the chair,coord,52607298,,,,,,,,,
,,Un,the sock is on the chair,coord,180409850,,,,,,,,,
,,Un,the shoe is on the chair,coord,235520443,,,,,,,,,
,,,,,,,,,,,,,,
A,saw,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The saw lies on the table,target,308580296,M1_Noun_intransitivePPbeg_22,,F2_Noun_intransitivePPbeg_22,,,8,7,1,
,,P1,The door lies on the table,mp,138795050,,,,,,,,,
,,P2,The jaw lies on the table,mp,272724764,,,,,,,,,
,,P3,The paw lies on the table,mp,306526184,,,,,,,,,
,,S1,The hammer lies on the table,coord,221714875,,,,,,,,,
,,S2,The knife lies on the table,coord,414583714,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,stairs,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the stairs are next to the tree,target,104359808,M1_Noun_intransitivePPbeg_23,,F2_Noun_intransitivePPbeg_23,,,6,7,1,
,,P1,x,x,x,,,,,,,,,
,,P2,the bears are next to the tree,mp,107576840,,,,,,,,,
,,P3,the pears are next to the tree,mp,210744133,,,,,,,,,
,,S1,the ladders are next to the tree,coord,266374580,,,,,,,,,
,,S2,the shoes are next to the tree,coord,279129368,,,,,,,,,
,,Un,the escalator is next to the tree,un,2981618,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,bull,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The bull stands on the grass,target,35054917,M1_Noun_intransitivePPbeg_26,,F2_Noun_intransitivePPbeg_26,,,6,7,1,
,,P1,x,x,x,,,,,,,,,
,,P2,The bulldog stands on the grass,close,281761124,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The cow stands on the grass,coord,41145079,,,,,,,,,
,,S2,The sheep stands on the grass,coord,54959410,,,,,,,,,
,,Un,The horse stands on the grass,un,183036218,,,,,,,,,
,,Un,The goat stands on the grass,un,157673411,,,,,,,,,
,,,,,,,,,,,,,,
A,bottle,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The bottle is in her hand,target,282178793,M1_Noun_intransitivePPbeg_28,,F2_Noun_intransitivePPbeg_28,,,7,7,2,
,,P1,The bagel is in her hand,distant,32105731,,,,,,,,,
,,P2,The button is in her hand,close,191616134,,,,,,,,,
,,P3,The butter is in her hand,distant,70546201,,,,,,,,,
,,S1,The jug is in her hand,coord,195430988,,,,,,,,,
,,S2,The cup is in her hand,coord,184890191,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,fort,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the fort is in the garden,target,56914543,M1_Noun_intransitivePPbeg_32,,F2_Noun_intransitivePPbeg_32,,,5,7,1,
,,P1,the port is in the garden,mp,38794261,,,,,,,,,
,,P2,The foot is in the garden,close,259496132,,,,,,,,,
,,P3,the fork  is in the garden,mp,192369584,,,,,,,,,
,,S1,the knight is in the garden,coord,285073766,,,,,,,,,
,,S2,the pitch is in the garden,coord,290605997,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,castle,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The castle  stands on the hill,target,56914543,M1_Noun_intransitivePPbeg_33,,F2_Noun_intransitivePPbeg_33,,,7,7,2,
,,P1,x,x,x,,,,,,,,,
,,P2,The camel stands on the hill,mp,213316588,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The pyramid stands on the hill,coord,63618628,,,,,,,,,
,,S2,The knight stands on the hill,coord,159070121,,,,,,,,,
,,Un,The house stands on the hill,coord,199360007,,,,,,,,,
,,Un,The church stands on the hill,un,78244051,,,,,,,,,
,,,,,,,,,,,,,,
A,wreath,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the wreath is on the fence,target,223486819,M1_Noun_intransitivePPbeg_37,,F2_Noun_intransitivePPbeg_37,,,5,7,1,
,,P1,the leaf is on the fence,close,306085607,,,,,,,,,
,,P2,the heath is on the fence,mp,135147749,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the lantern is on the fence,assoc,307665356,,,,,,,,,
,,S2,the cone is on the fence,assoc,296833412,,,,,,,,,
,,Un,the boy is on the fence,un,221591896,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,sailor,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the sailor works all day,target,52091113,M1_Noun_intransitivePPbeg_38,,F2_Noun_intransitivePPbeg_38,,,5,7,2,
,,P1,the tailor works all day,mp,54007780,,,,,,,,,
,,P2,the singer works all day,distant,131682332,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the baker works all day,un,236851948,,,,,,,,,
,,Un,the painter works all day,un,239813203,,,,,,,,,
,,,,,,,,,,,,,,
A,tree,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the tree is in the pot,target,97054988,M1_Noun_intransitivePPbeg_41,,F2_Noun_intransitivePPbeg_41,,,7,7,1,
,,P1,the pea is in the pot,mp,141257620,,,,,,,,,
,,P2,the key is in the pot,mp,308789171,,,,,,,,,
,,P3,the tea is in the pot,mp,89461159,,,,,,,,,
,,S1,the cactus is in the pot,coord,307663814,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the carrot is in the pot,un,40789309,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,key,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the key is in the pot,target,308789171,M1_Noun_intransitivePPbeg_42,,F2_Noun_intransitivePPbeg_42,,,6,7,1,
,,P1,the tea is in the pot,mp,89461159,,,,,,,,,
,,P2,the pea is in the pot,mp,141257620,,,,,,,,,
,,P3,the tree is in the pot,mp,97054988,,,,,,,,,
,,S1,the lock is in the pot,assoc,40884034,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the cactus is in the pot,un,307663814,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,hand,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the hand is on the book,target,38261293,M1_Noun_intransitivePPbeg_43,,F2_Noun_intransitivePPbeg_43,,,8,7,1,
,,P1,the band is on thebook,mp,72247603,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,the finger is on the book,close,127570844,,,,,,,,,
,,S1,the foot is on the book,coord,37700299,,,,,,,,,
,,S2,the paw is on the book,coord,249512593,,,,,,,,,
,,Un,the teapot is on the book,coord,38724982,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,cat,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The cat eats from the tree,target,146214605,,M2_Noun_intransitivePPbeg_49,,F1_Noun_intransitivePPbeg_49,,7,7,1,
,,P1,The rat eats from the tree,mp,305509376,,,,,,,,,
,,P2,The bat eats from the tree,mp,2226055,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The dog eats from the tree,coord,321470204,,,,,,,,,
,,S2,The mouse eats from the tree,assoc,278432837,,,,,,,,,
,,Un,The squirrel eats from the tree,un,280475651,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,party,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the party is lively at the weekend,target,53683187,,M2_Noun_intransitivePPbeg_55,,F1_Noun_intransitivePPbeg_55,,8,5,2,
,,P1,the puppy is lively at the weekend,close,190931909,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the crowd is lively at the weekend,assoc,256140502,,,,,,,,,
,,S2,the band is lively at the weekend,assoc,132936830,,,,,,,,,
,,Un,the boy is lively at the weekend,un,168286901,,,,,,,,,
,,Un,the class is lively at the weekend,un,197131463,,,,,,,,,
,,,,,,,,,,,,,,
A,carrot,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the carrot is in the bucket,target,40789309,,M2_Noun_intransitivePPbeg_59,,F1_Noun_intransitivePPbeg_59,,6,7,2,
,,P1,the parrot is in the bucket,mp,55506964,,,,,,,,,
,,P2,the ferret is in the bucket,distant,98441516,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the cherry is in the bucket,coord,485695425,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the hand is in the bucket,un,297466739,,,,,,,,,
,,Un,the horse is in the bucket,un,84453310,,,,,,,,,
,,,,,,,,,,,,,,
A,fog,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the fog settles in the morning,target,333213215,,M2_Noun_intransitivePPbeg_61,,F1_Noun_intransitivePPbeg_61,,6,7,2,
,,P1,the frog settles in the morning,mp,142027111,,,,,,,,,
,,P2,the dog settles in the morning,mp,35281393,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the cloud settles in the morning,coord,34993927,,,,,,,,,
,,S2,the smoke settles in the morning,coord,318222137,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,the snow settles in the morning,un,372064699,,,,,,,,,
,,,,,,,,,,,,,,
A,mum,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,his mum bleeds a little,target,298389623,,M2_Noun_intransitivePPbeg_67,,F1_Noun_intransitivePPbeg_67,,8,6,1,
,,P1,his gum bleeds a little,mp,299119580,,,,,,,,,
,,P2,his thumb bleeds a little,mp,64971208,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,his dad bleeds a little,coord,124514929,,,,,,,,,
,,S2,his sister bleeds a little,coord,144259036,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,his knee bleeds a little,x,108690767,,,,,,,,,
,,,,,,,,,,,,,,
,hour,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
A,,Target,the hour ends abruptly,target,261581783,,M2_Noun_intransitivePPbeg_68,,F1_Noun_intransitivePPbeg_68,,8,4,2,
,,P1,the shower ends abruptly,mp,196507322,,,,,,,,,
,,P2,the flour ends abruptly,mp,253980415,,,,,,,,,
,,P3,the power ends abruptly,mp,293143208,,,,,,,,,
,,S1,the race ends abruptly,un,31684419,,,,,,,,,
,,S2,the metre ends abruptly,coord,393762958,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,group,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
A,,Target,the group agrees this time,target,169085519,,M2_Noun_intransitivePPbeg_73,,F1_Noun_intransitivePPbeg_73,,8,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the man agrees this time,coord,222367264,,,,,,,,,
,,S2,the woman agrees this time,coord,284849651,,,,,,,,,
,,Un,the couple agree this time,un,164749469,,,,,,,,,
,,Un,the child agrees this time,un,213331933,,,,,,,,,
,,,,,,,,,,,,,,
,news,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
A,,Target,the news begins each day,target,262339823,,M2_Noun_intransitivePPbeg_75,,F1_Noun_intransitivePPbeg_75,,8,4,1,
,,P1,x,x,x,,,,,,,,,
,,P2,the booze begins each day,mp,28931146,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the book begins each day,coord,31498157,,,,,,,,,
,,S2,the film begins each day,coord,276568709,,,,,,,,,
,,Un,the parliament begins each day,un,393815749,,,,,,,,,
,,Un,the race begins each day,un,45435085,,,,,,,,,
,,,,,,,,,,,,,,
,cub,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
A,,Target,the cub sits in her hands,target,147889253,,M2_Noun_intransitivePPbeg_76,F2_Noun_intransitivePPbeg_76,,,5,7,1,
,,P1,the cuff sits in her hands,mp,104206145,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,the cup sits in her hands,mp,283644452,,,,,,,,,
,,S1,the lamb sits in her hands,coord,345403865,,,,,,,,,
,,S2,the monkey sits in her hands,coord,350047088,,,,,,,,,
,,Un,the insect sits in her hands,un,331687541,,,,,,,,,
,,Un,x,x,,,,,,,,,,
,,,,,,,,,,,,,,
A,hut,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the hut stands in the garden,target,135506408,,M2_Noun_intransitivePPbeg_89,F2_Noun_intransitivePPbeg_89,,,5,7,1,
,,P1,the mug stands in the garden,distant,234367711,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the house stands in the garden,coord,219251344,,,,,,,,,
,,S2,the fire stands in the garden,assoc,318222137,,,,,,,,,
,,Un,the swing stands in the garden,un,344299871,,,,,,,,,
,,Un,the tree stands in the garden,un,301034318,,,,,,,,,
,,,,,,,,,,,,,,
A,wife,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the wife lies on the floor,target,261202910,M1_Noun_intransitivePPbeg_44,,F2_Noun_intransitivePPbeg_44,,,8,6,1,1
,,P1,the knife lies on the floor,mp,180284681,,,,,,,,,
,,P2,the wine lies on the floor,mp,321160844,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the child lies on the floor,coord,61875193,,,,,,,,,
,,S2,the husband lies on the floor,coord,246792211,,,,,,,,,
,,Un,the fork lies on the floor,un,187795829,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,van,,Linguistic unit,P type,Image ID,,,,,,,,,
,,Target,the van moves along the road,target,296073428,,,M3_ACT_011,F2_ACT_011,,7,7,1,1
,,P1,the man moves along the road,mp,130223891,,,,,,,,,
,,P2,the lamb moves along,distant,377654326,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the car moves along,coord,157599014,,,,,,,,,
,,S2,the motorcycle moves along,coord,255844615,,,,,,,,,
,,un,the girl moves along,un,199461035,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,girl,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin ,Conc bin,Syllable,
,,Target,the girl is on the sand,target,80781181,,,M3_ACT_012,F2_ACT_012,,8,7,1,1
,,P1,the pearl is on the sand,mp,76729282,,,,,,,,,
,,P2,the grill is on the sand,close,221680669,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the woman is on the sand,coor,195510905,,,,,,,,,
,,S2,the boy is on the sand,coor,434555872,,,,,,,,,
,,Un,the necklace is on the sand,un,70011466,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
A,gnome,,Linguistic unit,P type,Image ID,Male 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the gnome stands in the garden,target,419805562,,M2_Noun_intransitivePPbeg_87,,F2_Noun_intransitivePPbeg_87,,4,7,1,
,,P1,the home stands in the garden,mp,219251344,,,,,,,,,
,,P2,the dome stands in the graden,mp,65442232,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the statue stands in the garden,coord,171584237,,,,,,,,,
,,S2,the fairy stands in the garden,coord,252305677,,,,,,,,,
,,Un,the gardener stands in the garden,un,318222137,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
